tns_name,previous_name,repeater_name,event_id,sub_num,ra,ra_err,dec,dec_err,ra_dec_notes,gl,gb,exp_up,exp_up_err,exp_low,exp_low_err,exp_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,fluence,fluence_err,fluence_notes,fluence_win_extended,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,notes_fitb,intrachan_flag,excluded_flag,sidelobe_flag,citizen_science_flag,catalog1_flag,catalog1_param_flag
FRB20230508A,,,288347231,0,213.9503838,0.247619441,41.25287014,0.242758304,,77.55457207,67.6600254,92.19567982,56.04445656,0,0,,10.73586941,578.6596069,nan,0.473298856,nan,0.86403081,20.10192874,578.8145799,0.008550883,552.6002507,557.2964981,0.00196608,0,nan,0.539725365,0.205948308,0.683768888,0.255742581,,1,60072.29827,1.64E-09,60072.29809,3.04E-09,0.000255937,6.69E-06,49.44445655,7.648011389,-48.52657757,7.579266758,800.1831055,535.7055664,666.0766602,1917513.912,1917912,0.277404785,,0,0,0,0,0,0
FRB20230508B,,,288351265,0,229.8802923,0.19017482,35.30814215,0.196711505,,56.78857464,57.50309646,93.04860906,49.36502467,0,0,,17.5786953,356.2537231,nan,1.933446135,nan,3.539131755,23.05189299,356.3314605,0.039185655,332.2269642,332.6045974,0.013762561,0.036440744,0.003384494,0.710733325,0.284852361,4.066417562,1.618892346,,1,60072.3439,7.46E-09,60072.34379,1.39E-08,0.000444201,0.000105534,5.208373659,1.770607389,-7.129365756,1.947992496,800.1831055,400.2075195,576.6479492,1821644.61,1822169,0.313476563,,0,0,0,0,0,0
FRB20230508C,,,288397555,0,324.1130276,0.196024011,6.645424306,0.257232595,,61.20594974,-32.01490972,81.90103863,41.48338347,0,0,,26.21594238,569.7633667,nan,2.917549855,nan,4.802418853,37.15324947,569.7103533,0.047893347,521.3205651,531.4529082,0.010813441,0,nan,1.559801967,0.630013661,10.23582276,2.368677287,,1,60072.60613,4.06E-09,60072.60596,1.49E-08,0.003051139,0.00012677,17.87566864,1.695249715,-65.63035238,5.524726364,553.0395508,400.2075195,458.581543,1039857.636,1041232,0.40045166,,0,0,0,0,0,0
FRB20230508D,,,288409208,0,162.4186118,0.069790546,88.22206625,0.282656298,,123.9583506,28.65735935,2061.95198,869.7593842,2004.807838,756.2250584,,10.92334843,441.1723328,nan,nan,nan,nan,nan,nan,nan,388.5760153,392.4819156,nan,nan,nan,nan,nan,nan,nan,,1,60072.66909,9.10E-08,60072.66896,1.52E-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,Unable to fit burst morphology due to heavy RFI contamination or difficulty separating the burst from background sky variations.,0,0,0,0,0,0
FRB20230509A,,,288629571,0,130.2754843,0.206003514,84.0375832,0.248393179,,129.0281482,29.74130544,667.8000988,334.6534722,721.3339301,371.4748348,,14.21615601,1066.73938,nan,nan,nan,nan,18.22855209,1067.029924,0.065490933,1015.607757,1020.003858,0.008847359,0.011893129,0.002358981,nan,nan,nan,nan,Flux/fluence could not be determined due to an unspecified computational failure in the fluence pipeline.,1,60073.06926,7.86E-09,60073.06894,2.12E-08,0.002244354,0.000469326,-1.111363133,1.211189464,-4.855780839,2.044999341,717.3461914,400.2075195,400.2075195,1751373.72,1751699,0.340026855,,0,0,0,0,0,0
FRB20230509B,,,288646996,0,145.1781491,0.099049149,88.32931661,0.195471266,,124.3341714,28.24606513,2458.331974,837.5145061,2283.1581,878.0662926,,16.83697701,1263.669556,nan,nan,nan,nan,22.33954979,1264.013097,0.010819006,1210.352623,1213.804677,0.003932159,0.039710005,0.00352577,nan,nan,nan,nan,Flux/fluence could not be determined due to an unspecified computational failure in the fluence pipeline.,1,60073.16846,2.15E-09,60073.16809,3.89E-09,1.37E-05,2.00E-05,34.67520163,5.082808144,-34.59847549,4.880933924,800.1831055,510.3637695,660.534668,1648498.945,1648991,0.378723145,,0,0,0,0,0,0
FRB20230510A,,,288957508,0,150.3258685,0.163452884,59.01635232,0.040482768,,153.4650877,46.76336539,115.3551751,86.36564118,0,0,,21.90732574,447.2379456,nan,2.637135407,nan,4.379698564,72.26533136,447.4017323,0.070226018,409.2206698,419.5127043,0.015728641,0.010248584,0.000383776,0.925555187,0.242395245,10.98823868,1.85754081,,1,60074.12292,2.06E-09,60074.12278,2.12E-08,0.001596078,0.000106406,18.72033401,1.774260635,-301.7809986,17.80884027,450.4760742,400.2075195,412.8051758,1901031.722,1906247,0.281799316,,0,0,0,0,0,0
FRB20230510B,,FRB20220505A,288976462,0,30.31013057,0.130478277,74.93055828,0.290922039,,127.5157156,12.68348871,276.0537457,168.4580806,229.1649813,110.9182807,,31.17798042,607.3701782,16.62752831,2.858314003,33.68491076,5.849290797,102.625634,605.8990633,0.008128272,494.8711258,452.7532364,0.00196608,0,nan,3.474030842,0.681356468,18.47654841,3.203564676,,1,60074.28887,1.43E-09,60074.28868,2.83E-09,0.000715792,6.20E-05,255.5105495,56.94514599,-336.8955173,74.12093985,635.1196289,538.3422852,584.7290039,1407615.979,1418127,0.465698242,,0,0,0,0,0,0
FRB20230510B,,FRB20220505A,288976462,1,30.31013057,0.130478277,74.93055828,0.290922039,,127.5157156,12.68348871,276.0537457,168.4580806,229.1649813,110.9182807,,31.17798042,607.3701782,16.62752831,2.858314003,33.68491076,5.849290797,102.625634,605.8990633,0.008128272,494.8711258,452.7532364,0.00196608,0,nan,3.474030842,0.681356468,18.47654841,3.203564676,,1,60074.28887,1.23E-09,60074.28868,2.73E-09,0.000578449,9.87E-06,119.2422409,4.550786809,-170.4613835,6.405127369,637.7319336,505.480957,567.7612305,1407615.979,1418127,0.465698242,,0,0,0,0,0,0
FRB20230510B,,FRB20220505A,288976462,2,30.31013057,0.130478277,74.93055828,0.290922039,,127.5157156,12.68348871,276.0537457,168.4580806,229.1649813,110.9182807,,31.17798042,607.3701782,16.62752831,2.858314003,33.68491076,5.849290797,102.625634,605.8990633,0.008128272,494.8711258,452.7532364,0.00196608,0,nan,3.474030842,0.681356468,18.47654841,3.203564676,,1,60074.28887,3.45E-09,60074.28868,4.23E-09,0.004018002,0.000277208,120.7323561,13.26306558,-199.6799265,22.4172919,602.8198242,486.340332,541.4672852,1407615.979,1418127,0.465698242,,0,0,0,0,0,0
